FUN_004017d0	004017d0	Function	Global	Default	1	0
FUN_004017f0	004017f0	Function	Global	Default	1	0
DirectDrawCreateEx	00401800	Thunk Function	DDRAW.DLL	Default	1	0
FUN_00401806	00401806	Function	Global	Default	1	0
FUN_00401873	00401873	Function	Global	Default	1	0
FUN_00401885	00401885	Function	Global	Default	1	0
FUN_004018b4	004018b4	Function	Global	Default	1	0
entry	004018bf	Function	Global	Imported	2	0
fatal	004019b5	Function	Global	User Defined	5	0
Fatal	004019da	Function	Global	User Defined	1	0
FUN_004019fe	004019fe	Function	Global	Default	1	0
run_initializers	00401c9e	Function	Global	User Defined	1	0
FUN_00401ccb	00401ccb	Function	Global	Default	1	0
__exit	00401cdc	Function	Global	Analysis	2	0
shutdown	00401ced	Function	Global	User Defined	2	0
run_function_list	00401d86	Function	Global	User Defined	4	0
FUN_00401da0	00401da0	Function	Global	Default	2	0
_malloc	00401e01	Function	Global	Analysis	9	0
__nh_malloc	00401e13	Function	Global	Analysis	1	0
FUN_00401e3f	00401e3f	Function	Global	Default	1	0
FUN_00401eb3	00401eb3	Function	Global	Default	4	0
FUN_00401f1c	00401f1c	Function	Global	Default	1	0
FUN_0040205d	0040205d	Function	Global	Default	1	0
ParseCommandLine	004020a0	Function	Global	User Defined	1	0
parse_env	004020f8	Function	Global	User Defined	1	0
parse_command_line	004021b1	Function	Global	User Defined	1	0
FUN_0040224a	0040224a	Function	Global	Default	2	0
init_env	004023fe	Function	Global	User Defined	1	0
init_handles	00402530	Function	Global	User Defined	1	0
FUN_004026db	004026db	Function	Global	Default	1	0
CreateHeapHelper	00402708	Function	Global	User Defined	1	0
CreateHeap	00402850	Function	Global	User Defined	1	0
__global_unwind2	004028b0	Function	Global	Analysis	1	0
__local_unwind2	004028f2	Function	Global	Analysis	3	0
FUN_00402986	00402986	Function	Global	Default	2	0
FUN_00402a65	00402a65	Function	Global	Default	0	0
FUN_00402a80	00402a80	Function	Global	Default	2	0
ShowError	00402ab9	Function	Global	User Defined	4	0
FUN_00402c0c	00402c0c	Function	Global	Default	1	0
FUN_00402c54	00402c54	Function	Global	Default	4	0
FUN_00402c7f	00402c7f	Function	Global	Default	3	0
FUN_00402fa8	00402fa8	Function	Global	Default	2	0
FUN_004032b1	004032b1	Function	Global	Default	1	0
FUN_00403362	00403362	Function	Global	Default	1	0
FUN_0040345d	0040345d	Function	Global	Default	1	0
Alloc	00403753	Function	Global	User Defined	2	0
FUN_00403897	00403897	Function	Global	Default	1	0
FUN_004038ed	004038ed	Function	Global	Default	1	0
FUN_004039af	004039af	Function	Global	Default	3	0
FUN_00403a06	00403a06	Function	Global	Default	3	0
FUN_00403a4b	00403a4b	Function	Global	Default	2	0
FUN_00403c53	00403c53	Function	Global	Default	2	0
FUN_00403d77	00403d77	Function	Global	Default	1	0
FUN_00403e20	00403e20	Function	Global	Default	4	0
parse_env	00403e40	Function	Global	User Defined	5	0
switchD	00403e75	Instruction Label	switchD_00403e75	Analysis	0	0
caseD_4	00403e88	Instruction Label	switchD_00403e94	Analysis	1	0
switchD	00403e8d	Instruction Label	switchD_00403e8d	Analysis	0	0
switchD	00403e94	Instruction Label	switchD_00403e94	Analysis	1	0
switchdataD_00403ea4	00403ea4	Data Label	switchD_00403e8d	Analysis	1	0
caseD_1	00403eb0	Instruction Label	switchD_00403e8d	Analysis	2	0
switchD	00403ed2	Instruction Label	switchD_00403ed2	Analysis	0	0
caseD_2	00403edc	Instruction Label	switchD_00403e8d	Analysis	2	0
